GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),0-100mph Time(s),Actual engine % torque(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Timing Advance(°),Engine Load(%),Litres Per 100 Kilometer(Instant)(l/100km),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Distance to empty (Estimated)(km),Fuel used (trip)(l),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel cost (trip)(cost),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Fuel Rate (direct from ECU)(L/m),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Mass Air Flow Rate(g/s),Ambient air temp(°C),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Intake Air Temperature(°C),Exhaust Gas Temperature 1(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Engine Coolant Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Run time since engine start(s),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,O2 Sensor4 wide-range Voltage,O2 Sensor5 wide-range Voltage,O2 Sensor6 wide-range Voltage,O2 Sensor7 wide-range Voltage,O2 Sensor8 wide-range Voltage,Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Fri May 12 18:24:21 GMT+02:00 2017,12-mag-2017 18:24:20.660,14.412975604061993,40.90908883331041,0.0,6.0,100.87594045997609,25.454649,1.98239899,1.9249382,13.18726254,0.04384094,-,-,45.7795639,26.66666603,0,0,33.72549057,-,12.58064365,7.94855356,12.15001965,8.23026752,34.32209015,0,35.5385437,1701.90625,1.582847,0,1.5625,-,-,-,0,-,-,-,-,-,-,0.29246911,∞,0.02596582,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,16.12796974,0.96767813,-,767.75,6,100.87593842,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.16,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.65647173,-,-,-9.0435276,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.07028849,0.28798756,0.83522737,-0.01858001,-,26,595.79998779,-,-,-,62,-,-,-,93,-,-,603.48797607,3175,2560.79492188,669,-,-,-,-,-,-,-,-,-,-,0,0,24.51977348,27.53807068
Fri May 12 18:24:21 GMT+02:00 2017,12-mag-2017 18:24:21.165,14.412975604061993,40.90908883331041,0.0,6.0,100.87594045997609,25.454649,2.46123934,3.17949986,7.7284832,-0.0929417,-,-,45.77928543,26.66666603,0,0,33.72549057,-,12.58058262,7.94859219,12.14936352,8.23071289,34.32023621,0,35.53836823,1701.88757324,1.58367169,0,1.5625,-,-,-,0,-,-,-,-,-,-,0.29262149,∞,0.02597935,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,16.11747169,0.96704829,-,762,6,100.87593842,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.16,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.65647173,-,-,-9.0435276,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1444819,0.28310639,0.74541426,-0.09650292,-,26,595.79998779,-,-,-,62,-,-,-,93,-,-,604.00897217,3176,2560.79492188,669,-,-,-,-,-,-,-,-,-,-,0,0,24.49209976,27.53807068
Fri May 12 18:24:22 GMT+02:00 2017,12-mag-2017 18:24:21.665,14.412975604061993,40.90908883331041,0.0,6.0,100.88088828233276,25.454649,0.45968673,3.8786068,8.74362469,0.01435902,-,-,45.77928543,26.66666603,0,0,33.33333206,-,12.58058262,7.94859219,12.14936352,8.23071289,34.32023621,0,35.53836823,1701.88757324,1.58367169,0,1.5625,-,-,-,1.5625,-,-,-,-,-,-,0.29262149,∞,0.02597935,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,16.11747169,0.96704829,-,762,6,100.88088989,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.16,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.65647173,-,-,-9.0435276,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11909994,0.39634898,0.85084707,0.03736319,-,26,595.79998779,-,-,-,62,-,-,-,93,-,-,604.5,3176,2560.79492188,669,-,-,-,-,-,-,-,-,-,-,0,0,24.49209976,27.53807068
Fri May 12 18:24:22 GMT+02:00 2017,12-mag-2017 18:24:22.164,14.412975604061993,40.90908883331041,0.0,6.0,100.88088828233276,25.454649,2.62404513,1.99197578,8.75320148,-0.02762055,-,-,45.77928543,26.66666603,0,-1,33.33333206,-,12.58058262,7.94859219,12.14936352,8.23071289,34.32023621,0,35.53836823,1701.88757324,1.58367169,0,1.5625,-,-,-,1.5625,-,-,-,-,-,-,0.29262149,∞,0.02597935,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,16.11747169,0.96704829,-,762,6,100.88088989,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.70999998,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.65647173,-,-,-9.0435276,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.26748675,0.20305562,0.79227334,-0.04629484,-,26,595.79998779,-,-,-,62,-,-,-,93,-,-,604.89099121,3176,2560.79492188,669,-,-,-,-,-,-,-,-,-,-,0,0,24.49209976,27.53807068
Fri May 12 18:24:23 GMT+02:00 2017,12-mag-2017 18:24:22.665,14.412975604061993,40.90908883331041,0.0,6.0,100.88454081047557,25.454649,-0.64164603,2.03028297,9.62469101,0.01798448,-,-,45.77928543,26.66666603,0,-1,33.33333206,-,12.58058262,7.94859219,12.14936352,8.23071289,34.32023621,0,35.53836823,1701.88757324,1.58367169,0,1.5625,-,-,-,1.5625,-,-,-,-,-,-,0.29262149,∞,0.02597935,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,16.11747169,0.96704829,-,762,6,100.88454437,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.70999998,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.65647173,-,-,-9.0435276,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.24308102,0.50959152,0.88892001,0.13913159,-,26,595.79998779,-,-,-,62,-,-,-,93,-,-,605.49200439,3177,2560.79492188,669,-,-,-,-,-,-,-,-,-,-,0,0,24.49209976,27.53807068
Fri May 12 18:24:23 GMT+02:00 2017,12-mag-2017 18:24:23.184,14.412975604061993,40.90908883331041,0.0,6.0,100.88454081047557,25.454649,-1.33117616,2.14520478,10.84094524,0.03641924,-,-,45.77928543,26.66666603,0,-1,33.33333206,-,12.58058262,7.94859219,12.14936352,8.23071289,34.32023621,0,35.53836823,1701.88757324,1.58367169,0,1.5625,-,-,-,1.5625,-,-,-,-,-,-,0.29262149,∞,0.02597935,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,16.11747169,0.96704829,-,762,6,100.88454437,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.70999998,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.65647173,-,-,-9.0435276,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13569583,0.20988922,0.95530361,0.08486688,-,26,594,-,-,-,62,-,-,-,93,-,-,606.03399658,3178,2560.79492188,669,-,-,-,-,-,-,-,-,-,-,0,0,24.49209976,27.53807068
Fri May 12 18:24:24 GMT+02:00 2017,12-mag-2017 18:24:23.664,14.412975604061993,40.90908883331041,0.0,6.0,100.88713530743264,25.454649,-0.37349546,1.35990655,9.17458057,-0.03478837,-,-,45.77928543,26.66666603,0,-1,33.33333206,-,12.58058262,7.94859219,12.14936352,8.23071289,34.32023621,0,35.53836823,1701.88757324,1.58367169,0,1.5625,-,-,-,1.5625,-,-,-,-,-,-,0.29262149,∞,0.02597935,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,16.11747169,0.96704829,-,762,6,100.88713837,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.70999998,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.65647173,-,-,-9.0435276,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.05857374,0.13569583,0.82644129,-0.06152293,-,26,594,-,-,-,62,-,-,-,93,-,-,606.49700928,3178,2560.79492188,671,-,-,-,-,-,-,-,-,-,-,0,0,24.49209976,27.53807068
Fri May 12 18:24:24 GMT+02:00 2017,12-mag-2017 18:24:24.164,14.412975604061993,40.90908883331041,0.0,6.0,100.88713530743264,25.454649,0.75656772,1.08217919,9.58638382,0.03726051,-,-,45.77884293,26.66666603,0,-1,33.33333206,-,12.58052063,7.94863081,12.14870739,8.2311573,34.31838226,0,35.53819656,1701.86279297,1.58497798,0,1.5625,-,-,-,1.5625,-,-,-,-,-,-,0.29286286,∞,0.02600078,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,25.43074989,1.52584493,-,1284.25,6,100.88713837,40.90908813,14.41297531,25.45464897,16,-,-,-,-,-,-,-,-,-,-,-,0.70999998,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,8.99234009,-,-,-5.70765972,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0234295,0.11617125,0.91137326,0.01864082,-,26,594,-,-,-,62,-,-,-,93,-,-,606.95300293,3179,2560.79492188,671,-,-,-,-,-,-,-,-,-,-,0,0,24.49209976,27.53807068
Fri May 12 18:24:25 GMT+02:00 2017,12-mag-2017 18:24:24.666,14.412975604061993,40.90908883331041,0.0,6.0,100.88891672791968,25.454649,0.03830723,1.14921677,9.86411095,0.03132445,-,-,45.77884293,26.66666603,0,-1,41.96078491,-,12.58052063,7.94863081,12.14870739,8.2311573,34.31838226,0,35.53819656,1701.86279297,1.58497798,0,1.5625,-,-,-,0.78125,-,-,-,-,-,-,0.29286286,∞,0.02600078,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,25.43074989,1.52584493,-,1284.25,6,100.88891602,40.90908813,14.41297531,25.45464897,14,-,-,-,-,-,-,-,-,-,-,-,0.70999998,0.19499999,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,8.99234009,-,-,-5.70765972,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02050081,0.10250404,0.8820864,-0.01202856,-,26,594,-,-,-,62,-,-,-,93,-,-,607.49298096,3179,2560.79492188,671,-,-,-,-,-,-,-,-,-,-,0,0,24.46448708,27.53807068
Fri May 12 18:24:25 GMT+02:00 2017,12-mag-2017 18:24:25.183,14.412975604061993,40.90908883331041,0.0,6.0,100.88891672791968,25.454649,-0.84275901,1.01514149,9.95030212,0.03772257,-,-,45.77884293,26.66666603,0,30.5,41.96078491,-,12.58052063,7.94863081,12.14870739,8.2311573,34.31838226,0,35.53819656,1701.86279297,1.58497798,0,1.5625,-,-,-,0.78125,-,-,-,-,-,-,0.29286286,∞,0.02600078,-,205.18484497,0,18.12706947,154.80686951,0,13133,-,-,-,-,-,-,-,25.43074989,1.52584493,-,1284.25,6,100.88891602,40.90908813,14.41297531,25.45464897,14,-,-,-,-,-,-,-,-,-,-,-,0.70999998,0.19499999,-,-,-,-,-,-,6.66666698,-,-,-,-,0,-,-,-,-,8.99234009,-,-,-5.70765972,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02245327,0.11617125,0.93968385,0.04675247,-,26,594,-,-,-,62,-,-,-,93,-,-,608.03997803,3180,2560.79492188,671,-,-,-,-,-,-,-,-,-,-,0,0,24.46448708,27.53807068
