GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),0-100mph Time(s),Actual engine % torque(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Timing Advance(°),Engine Load(%),Litres Per 100 Kilometer(Instant)(l/100km),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Distance to empty (Estimated)(km),Fuel used (trip)(l),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel cost (trip)(cost),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Fuel Rate (direct from ECU)(L/m),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Mass Air Flow Rate(g/s),Ambient air temp(°C),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Intake Air Temperature(°C),Exhaust Gas Temperature 1(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Engine Coolant Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Run time since engine start(s),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,O2 Sensor4 wide-range Voltage,O2 Sensor5 wide-range Voltage,O2 Sensor6 wide-range Voltage,O2 Sensor7 wide-range Voltage,O2 Sensor8 wide-range Voltage,Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:15.890,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,0.90979666,-0.20111294,10.19929886,0.03674976,-,-,-,-,-,-,-,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09274176,-0.02635818,0.95530361,0.06006073,-,-,-,-,-,-,-,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:16.403,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,0.82360536,0,9.80665016,0.02217776,-,-,-,-,-,-,-,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08395569,0,0.8996585,0.00352049,-,-,-,-,-,-,-,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:16.896,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,0.46926352,-0.15322891,9.50019264,-0.01127434,-,-,-,-,-,-,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01757212,-0.03612047,0.90844452,0.009589,-,-,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:17.403,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,0.55545479,0,9.85453415,0.02513415,-,-,-,-,-,-,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04685899,-0.04100162,0.90453964,0.00681131,-,26,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:17.888,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,1.33117616,-0.08619126,9.44273186,-0.00888079,-,-,-,-,-,27,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-,-,-,-,3.90625,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.27450991,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.10055158,0,0.90551585,0.01087616,-,26,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:18.404,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,1.60890353,-0.05746084,9.70130539,0.02144462,-,-,-,-,-,27,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-0.78125,-,-,-,3.90625,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0.94499999,0.45999998,-,-,-,-,-,-,6.27450991,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.14057697,0.0068336,0.88794374,-0.00174054,-,26,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:18.891,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,1.50355864,0,10.17056847,0.0670231,-,-,-,-,-,27,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-0.78125,-,-,-,3.90625,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0.94499999,0.45999998,-,-,-,-,-,-,6.27450991,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15326795,0,0.93675518,0.04838112,-,26,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:19.405,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,1.33117616,-0.10534488,9.86411095,0.03368753,-,-,-,-,-,27,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-0.78125,-,-,-,3.90625,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0.94499999,0.45999998,-,-,-,-,-,-,6.27450991,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13569583,-0.01073852,0.90551585,0.0150342,-,26,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:19.904,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,0.5267244,-0.66079968,10.0556469,0.0476535,-,-,-,-,-,27,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-0.78125,-,-,-,3.90625,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0.94499999,0.45999998,-,-,-,-,-,-,6.27450991,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0536926,-0.06735981,0.92504042,0.02900498,-,26,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Fri May 12 17:30:45 GMT+02:00 2017,12-mag-2017 17:31:20.405,14.412833092004487,40.90902995060457,0.596303,24.0,109.19222548575483,0.0,0.17238252,-0.68953007,9.85453415,0.02614897,-,-,-,-,-,27,40.39215851,-,15.16142941,6.59562635,-,-,-,-,35.66220474,-,-,-,-0.78125,-,-,-,3.90625,-,-,-,-,-,-,-,-,-,-,-,0,-,136.67979431,-,-,-,-,-,-,-,-,-,-,-,-,848.75,24,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0.94499999,0.45999998,-,-,-,-,-,-,6.27450991,-,-,-,-,-,-,-,-,-,5.07632065,-,-,-9.62367916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00390492,-0.03416802,0.92015928,0.02108751,-,26,-,-,-,-,42,-,-,-,82,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
